Conf,Team,Seed,Region
B10,Purdue,2,West
B10,Illinois,3,South
SEC,Alabama,4,Midwest
ACC,Duke,1,East
B12,Arizona,1,West
SEC,Arkansas,4,West
SEC,Vanderbilt,5,South
B10,Michigan,1,Midwest
SEC,Florida,1,South
B12,BYU,6,West
B10,Wisconsin,5,West
B12,Texas Tech,5,Midwest
SEC,Texas,11,West
B12,Houston,2,South
SEC,Georgia,8,Midwest
B10,Ohio St.,8,East
ACC,Louisville,6,East
ACC,N.C. State,11,West
B12,Iowa St.,2,Midwest
B10,UCLA,7,East
WCC,Santa Clara,10,Midwest
B10,Michigan St.,3,East
ACC,SMU,11,Midwest
ACC,Virginia,3,Midwest
MWC,Utah St.,9,West
WCC,Gonzaga,3,West
BE,Connecticut,2,East
B10,Iowa,9,South
ACC,North Carolina,6,South
ACC,Miami FL,7,West
SEC,Tennessee,6,Midwest
SEC,Kentucky,7,Midwest
B12,UCF,10,East
BE,Villanova,8,West
WCC,Saint Mary's,7,South
BE,St. John's,5,East
A10,VCU,11,South
SEC,Texas A&M,10,South
SEC,Missouri,10,West
A10,Saint Louis,9,Midwest
MAC,Akron,12,Midwest
B10,Nebraska,4,South
B12,Kansas,4,East
Amer,South Florida,11,East
BSth,High Point,12,West
MAC,Miami OH,11,Midwest
ACC,Clemson,8,South
ASun,Queens,15,West
B12,TCU,9,East
CAA,Hofstra,13,Midwest
Slnd,McNeese,12,South
Horz,Wright St.,14,Midwest
Sum,North Dakota St.,14,East
SB,Troy,13,South
CUSA,Kennesaw St.,14,West
MVC,Northern Iowa,12,East
OVC,Tennessee St.,15,Midwest
BSky,Idaho,15,South
AE,UMBC,16,Midwest
WAC,Cal Baptist,13,East
SC,Furman,15,East
Ivy,Penn,14,South
MAAC,Siena,16,East
BW,Hawaii,13,West
NEC,LIU,16,West
MEAC,Howard,16,Midwest
PL,Lehigh,16,South
SWAC,Prairie View A&M,16,South
